Jahr,CPI,LM_Umsatz_nom,Bekl_nom,Food_nom,LM_Umsatz_real,Bekl_real,Food_real
2002,100.0,126565.22,62.51,175.91,126565.22,62.51,175.91
2003,101.0,136057.29,61.86,175.69,134710.1881188119,61.24752475247524,173.95049504950495
2004,102.616,136303.04,60.59,178.54,132828.25290403055,59.045373041241135,173.9884618383098
2005,104.25785600000002,145271.09,59.85,183.05,139338.26722851463,57.4057459996108,175.5742991684003
2006,105.92598169600001,145685.06,61.0,185.74,137534.77444099193,57.587382267615546,175.3488587276543
2007,108.362279275008,149746.94,64.35,190.17,138191.02089940693,59.384132957086365,175.4946474661867
2008,111.17969853615821,156622.32,63.05,194.9,140873.12887349015,56.70999366803885,175.30178851547615
2009,111.51323763176666,156750.57,63.94,189.21,140566.78232015268,57.33848407409658,169.67492292242437
2010,112.62837000808435,160633.42,66.94,188.41,142622.52040801969,59.43440360114873,167.28467257980927
2011,115.1061941482622,170641.73,69.99,188.66,148247.21750439028,60.80472082140912,163.90082340573005
2012,117.29321183707914,166863.27,71.98,194.37,142261.65980668506,61.36757521823222,165.71291463139477
2013,119.05261001463533,172369.16,73.88,196.72,144784.0244567594,62.0565983315425,165.23787254711752
2014,120.2431361147817,172620.27,75.1,203.81,143559.35446928142,62.45678749455689,169.49824046958244
2015,120.84435179535559,177626.13,75.35,214.14,146987.5317803862,62.352934895626554,177.20315167285295
2016,121.44857355433236,182192.08,77.71,217.54,150015.82535548913,63.98593060892142,179.12108280356154
2017,123.27030215764734,193640.36,80.57,224.22,157085.97822073812,65.36043036299287,181.8929588679442
2018,125.48916759648499,197272.6,79.97,232.57,157202.89151517625,63.72661603521546,185.33073766800123
2019,127.24601594283575,216323.77,77.93,240.22,170004.3560477223,61.2435677632606,188.78390668664775
2020,127.88224602254992,224559.32,73.65,257.71,175598.51111811306,57.592044471140305,201.52132763961393
